                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
10,"Ames, IA MSA","125,156","125,252",126195,0,,0.07,0,"9,000",17,1,249,0,125252,125306,126195,54,889,271,1013,219,972,52,41,13,258,-12,569,1,827,0,1,21,"125,242","65,289",59953,57354,53765,1842,1464,239,200,4676,3401,18,22,1160,1101,58449,54818,2329,1941,549,487,5147,3842,76,67,62271,57265,54771,51520,1715,1333,136,127,4648,3356,11,21,990,908,55711,52393,2132,1733,350,314,5075,3741,57,52,3018,2688,2583,2245,127,131,103,73,28,45,7,1,170,193,2738,2425,197,208,199,173,72,101,19,15
11,"Amherst Town-Northampton, MA","162,502","162,308",,,,0.00,0,,14.1,1,,0,,,,,,,,,,,,,,,,,,0,,,"162,316","76,265",86051,67237,75346,2918,2945,278,282,3775,5198,62,69,1995,2211,69058,77361,3856,3949,708,755,4572,6179,191,182,70720,80056,62857,70506,2380,2420,134,135,3709,5119,42,48,1598,1828,64322,72168,3055,3159,466,514,4441,6024,131,141,5545,5995,4380,4840,538,525,144,147,66,79,20,21,397,383,4736,5193,801,790,242,241,131,155,60,41
12,"Anchorage, AK MSA","401,314","398,328",398807,0,423.9,0.09,0,"35,000",11.4,1,3657,1,398328,398097,398807,-231,710,1296,5048,770,2997,526,2051,15,331,-796,-1631,-781,-1300,1,24,-41,"398,312","205,173",193139,142793,128882,10074,8574,16522,17361,14262,16813,4901,4844,16621,16665,157496,143695,14683,13052,25726,26756,19454,21935,6458,6433,188891,177653,131331,118048,9091,7579,15033,15875,13824,16450,4734,4675,14878,15026,144500,131431,13036,11400,23255,24402,18498,21088,6118,6073,16282,15486,11462,10834,983,995,1489,1486,438,363,167,169,1743,1639,12996,12264,1647,1652,2471,2354,956,847,340,360
13,"Ann Arbor, MI MSA","365,536","372,258",369390,0,435.3,0.12,1,"46,000",13.9,1,1327,1,372258,371656,369390,-602,-2266,895,3367,745,3020,150,347,15,375,-779,-3019,-764,-2644,1,12,31,"372,258","185,919",186339,137623,138189,23168,23109,790,787,17333,17174,90,123,6915,6957,144054,144596,26753,26810,2292,2474,20094,19804,288,346,175548,176046,128942,129715,22527,22487,533,524,17184,17000,64,80,6298,6240,134809,135472,25750,25775,1812,1914,19789,19463,226,261,10371,10293,8681,8474,641,622,257,263,149,174,26,43,617,717,9245,9124,1003,1035,480,560,305,341,62,85
14,"Anniston-Oxford, AL","116,429",116441,115972,0,,0.03,0,"3,000",15.8,1,,0,116441,116266,115972,-175,-294,311,1320,409,1712,-98,-392,1,4,-74,70,-73,74,0,-4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Appleton, WI MSA","246,433","243,147",244084,0,284.6,0.04,0,"9,000",6.75,0,392,0,243147,243308,244084,161,776,685,2532,536,2207,149,325,0,51,10,354,10,405,0,2,46,"243,153","122,453",120700,111743,110761,2006,1487,2014,1932,4313,4296,94,81,2283,2143,113927,112808,3042,2478,2771,2671,4945,4863,173,155,116012,114917,106226,105788,1826,1349,1607,1588,4237,4237,73,61,2043,1894,108189,107595,2764,2238,2236,2197,4830,4764,139,127,6441,5783,5517,4973,180,138,407,344,76,59,21,20,240,249,5738,5213,278,240,535,474,115,99,34,28
16,"Asheville, NC MSA","417,202","406,926",472341,0,456.6,0.07,0,"27,000",11.5,1,1466,1,469015,469454,472341,439,2887,964,3987,1579,6289,-615,-2302,1,134,1090,5060,1091,5194,0,-37,-5,"406,933","197,080",209853,178147,190214,10571,10447,1336,1260,2526,3086,387,347,4113,4499,181954,194383,12707,12839,2874,2971,3307,3936,516,473,177725,191688,160840,173953,9909,9881,663,705,2343,2923,303,272,3667,3954,164234,177625,11816,11977,1990,2170,3079,3709,418,383,19355,18165,17307,16261,662,566,673,555,183,163,84,75,446,545,17720,16758,891,862,884,801,228,227,98,90
17,"Athens-Clarke County, GA MSA","222,060","215,415",217759,0,369.8,0.08,0,"17,000",20.5,1,,0,215415,215638,217759,223,2121,546,2063,417,1802,129,261,5,134,84,1730,89,1864,0,5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Atlanta-Sandy Springs-Alpharetta, GA","6,307,261","6,104,803",6144050,1,,0.14,1,"869,000",11.4,1,,0,6089815,6101146,6144050,11331,42904,16645,68252,11892,50454,4753,17798,391,5691,5888,19358,6279,25049,0,299,57,"6,106,847","2,967,987",3138860,1679521,1682597,1002772,1157817,17442,15894,194180,201898,3120,3244,70952,77410,1739659,1747066,1046081,1207176,36280,37329,217323,226358,6448,6887,2591008,2784784,1367316,1394600,965967,1118300,5491,6011,191052,198719,1648,1786,59534,65368,1417690,1448810,1002073,1159846,19711,22726,211794,220492,4261,4760,376979,354076,312205,287997,36805,39517,11951,9883,3128,3179,1472,1458,11418,12042,321969,298256,44008,47330,16569,14603,5529,5866,2187,2127
19,"Atlantic City-Hammonton, NJ","369,823","369,797",274966,0,,0.12,1,"43,000",13.5,1,672,0,274534,274191,274966,-343,775,648,2740,790,3193,-142,-453,1,179,-191,1005,-190,1184,0,-11,44,"369,798","180,003",189795,138150,144360,24582,27310,1170,1159,11101,12040,184,153,4816,4773,142337,148416,27475,30347,2188,2196,12704,13531,392,421,149096,159519,113722,120473,20565,23269,336,332,10845,11769,60,76,3568,3600,116752,123472,22497,25372,1034,1054,12333,13150,216,283,30907,30276,24428,23887,4017,4041,834,827,256,271,124,77,1248,1173,25585,24944,4978,4975,1154,1142,371,381,176,138
