                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
94,"Detroit-Warren-Dearborn, MI","4,342,304","4,392,041",4365205,1,,0.10,1,"444,670",13.8,1,22332,1,4392041,4385748,4365205,-6293,-20543,11951,46383,12716,50849,-765,-4466,231,2159,-5719,-18841,-5488,-16682,1,-40,605,"4,392,390","2,153,638",2238752,1526890,1534237,456728,533809,8704,9179,106606,105176,642,580,54068,55771,1575743,1584013,484496,563584,24286,26831,125210,122966,2700,2626,2042072,2130478,1430715,1442593,449575,525946,6261,6617,105879,104338,402,429,49240,50555,1475267,1487732,474556,552746,19650,21717,123437,121070,2216,2168,111566,108274,96175,91644,7153,7863,2443,2562,727,838,240,151,4828,5216,100476,96281,9940,10838,4636,5114,1773,1896,484,458
95,"Dothan, AL MSA","153,349","151,007",151618,0,,0.02,0,"3,348",18.1,1,,0,151007,151032,151618,25,586,401,1719,518,2060,-117,-341,0,18,148,894,148,912,0,-6,15,"151,001","72,959",78042,53294,55604,16942,19427,486,521,597,802,63,73,1577,1615,54718,57048,17818,20320,1043,1111,866,1085,146,153,69764,75151,50730,53293,16683,19172,352,389,549,766,32,41,1418,1490,52009,54628,17485,19992,839,928,790,1033,105,106,3195,2891,2564,2311,259,255,134,132,48,36,31,32,159,125,2709,2420,333,328,204,183,76,52,41,47
96,"Dover, DE MSA","189,789","181,851",184149,0,318,0.07,0,"12,047",13.2,1,770,0,181851,182256,184149,405,1893,446,2049,479,2119,-33,-70,5,95,436,1858,441,1953,0,-3,10,"181,858","87,977",93881,57825,60510,23876,26472,635,712,1967,2370,105,116,3569,3701,60885,63565,26352,29066,1492,1654,2904,3347,308,365,81034,86866,52982,55616,22571,25160,449,505,1908,2302,53,50,3071,3233,55630,58289,24702,27426,1095,1270,2745,3196,213,260,6943,7015,4843,4894,1305,1312,186,207,59,68,52,66,498,468,5255,5276,1650,1640,397,384,159,151,95,105
97,"Dubuque, IA MSA","98,887",99266,98718,0,,0.03,0,"3,213",9.94,0,130,0,99266,99229,98718,-37,-511,256,1112,241,1100,15,12,2,71,-51,-601,-49,-530,1,-3,7,"99,275","49,279",49996,45285,46203,1968,1775,152,151,656,665,335,324,883,878,46135,47039,2498,2276,341,354,876,885,368,369,47868,48449,44092,44875,1889,1709,102,81,638,637,325,320,822,827,44883,45664,2387,2191,265,263,844,843,354,359,1411,1547,1193,1328,79,66,50,70,18,28,10,4,61,51,1252,1375,111,85,76,91,32,42,14,10
98,"Duluth, MN-WI MSA","281,603","280,733",290780,0,254.3,0.02,0,"5,548",12.9,1,604,0,291638,291278,290780,-360,-498,688,2627,1010,3592,-322,-965,-1,51,-20,371,-21,422,0,-17,45,280719,142398,138321,130417,127510,2810,1691,3940,3756,1350,1561,64,66,3817,3737,134029,131064,4261,3061,5841,5668,2094,2250,179,176,139771,135887,128519,125782,2701,1610,3639,3432,1325,1530,45,63,3542,3470,131872,129081,4056,2889,5370,5178,2036,2186,155,167,2627,2434,1898,1728,109,81,301,324,25,31,19,3,275,267,2157,1983,205,172,471,490,58,64,24,9
99,"Durham-Chapel Hill, NC","608,879","588,911",654012,1,,0.13,1,"76,903",13.2,1,2830,1,649903,651192,654012,1289,2820,1644,6661,1435,5968,209,693,49,881,1029,1214,1078,2095,0,2,32,"588,911","283,037",305874,186005,195592,71160,82806,2968,2829,15256,16390,353,366,7295,7891,192194,202241,75215,87306,5262,5436,17598,18896,645,677,242558,268191,152807,164926,67937,79564,874,955,14816,15968,108,150,6016,6628,157907,170509,71281,83324,2628,3017,16877,18198,326,386,40479,37683,33198,30666,3223,3242,2094,1874,440,422,245,216,1279,1263,34287,31732,3934,3982,2634,2419,721,698,319,291
100,"Eagle Pass, TX MSA","57,762",57887,,,,0.30,1,"17,224",26.2,1,,0,,,,,,,,,,,,,,,,,,0,,,"57,884","28,882",29002,27671,27975,276,165,527,523,212,173,11,9,185,157,27834,28116,358,226,614,604,248,211,18,16,1565,1364,874,757,123,75,334,347,175,130,4,2,55,53,924,801,148,93,354,374,187,145,7,5,27317,27638,26797,27218,153,90,193,176,37,43,7,7,130,104,26910,27315,210,133,260,230,61,66,11,11
101,"Eau Claire, WI MSA","174,873","172,007",173317,0,,0.03,0,"4,695",11.9,1,363,0,172007,172097,173317,90,1220,436,1743,394,1710,42,33,1,50,50,1116,51,1166,0,-3,21,172013,86990,85023,80093,79342,1754,693,636,456,2798,2831,143,113,1566,1588,81586,80852,2515,1439,1114,944,3227,3261,198,188,84646,83042,78278,77747,1627,616,466,358,2775,2800,128,95,1372,1426,79583,79107,2300,1296,844,759,3182,3208,176,160,2344,1981,1815,1595,127,77,170,98,23,31,15,18,194,162,2003,1745,215,143,270,185,45,53,22,28
102,"El Centro, CA MSA","179,057","179,702",179851,0,,0.31,1,"54,859",22.5,1,615,0,179702,179489,179851,-213,362,562,2289,467,1567,95,722,12,-60,-330,-344,-318,-404,1,10,44,179713,92282,87431,81997,79905,4271,1706,2262,2284,2018,1862,201,179,1533,1495,83327,81216,4669,2082,2989,2966,2582,2388,329,339,15532,11112,9672,8013,3456,848,640,706,1177,982,73,73,514,490,10112,8448,3607,989,800,836,1432,1212,113,125,76750,76319,72325,71892,815,858,1622,1578,841,880,128,106,1019,1005,73215,72768,1062,1093,2189,2130,1150,1176,216,214
103,"El Paso, TX MSA","873,331","868,859",871234,1,240.6,0.23,1,"203,743",19.5,1,2816,1,868859,869289,871234,430,1945,2803,11026,1728,6798,1075,4228,-79,-118,-608,-2353,-687,-2471,1,42,188,868862,431770,437092,392102,403054,20905,15325,4886,4546,5956,6537,1043,985,6878,6645,398390,409148,23943,18341,6818,6377,8656,9100,1572,1504,83601,67983,56197,45733,16652,11309,1339,1145,4869,5510,682,653,3862,3633,59684,49028,18387,13007,2156,1873,6600,7111,932,902,348169,369109,335905,357321,4253,4016,3547,3401,1087,1027,361,332,3016,3012,338706,360120,5556,5334,4662,4504,2056,1989,640,602
104,"Elizabethtown, KY MSA","127,576","125,569",156766,0,,0.04,0,"4,960",12.1,1,153,0,155572,155570,156766,-2,1196,460,1760,473,1673,-13,87,0,9,11,1091,11,1100,0,0,9,"125,557","62,579",62978,51267,51729,7367,7013,279,272,1045,1510,219,188,2402,2266,53497,53821,8750,8317,811,812,1780,2198,389,341,58762,59657,48241,49076,6984,6673,224,211,984,1453,179,166,2150,2078,50248,51002,8247,7886,642,668,1650,2093,317,299,3817,3321,3026,2653,383,340,55,61,61,57,40,22,252,188,3249,2819,503,431,169,144,130,105,72,42
105,"Elkhart-Goshen, IN","206,409","207,047",206921,0,,0.09,0,"17,652",11.7,1,,0,207047,206842,206921,-205,79,730,2927,552,1999,178,928,4,90,-393,-970,-389,-880,1,6,31,"207,046","102,567",104479,91729,93352,6189,6284,744,732,1153,1444,99,87,2653,2580,94294,95837,7869,7900,1419,1384,1587,1870,171,178,82160,85367,73078,75862,5541,5695,236,230,1045,1366,42,41,2218,2173,75230,77959,7014,7108,701,705,1425,1739,95,112,20407,19112,18651,17490,648,589,508,502,108,78,57,46,435,407,19064,17878,855,792,718,679,162,131,76,66
106,"Elmira, NY MSA","81,325",84148,83045,0,150.9,0.03,0,"2,920",14.7,1,178,0,84148,83882,83045,-266,-837,219,839,319,1193,-100,-354,0,11,-163,-502,-163,-491,1,-3,8,"84,142","41,878",42264,36250,37967,3377,2009,159,152,595,629,19,17,1478,1490,37665,39385,4436,3102,406,375,832,861,49,65,40260,40968,35181,37059,3062,1825,121,103,569,619,7,8,1320,1354,36446,38353,4003,2812,332,299,793,840,34,48,1618,1296,1069,908,315,184,38,49,26,10,12,9,158,136,1219,1032,433,290,74,76,39,21,15,17
107,"Enid, OK MSA","62,023",62846,61926,0,,0.07,0,"4,392",13.7,1,225,0,62846,62629,61926,-217,-703,178,798,204,811,-26,-13,3,65,-194,-756,-191,-691,1,0,1,"62,839","31,738",31101,26440,26230,1109,844,1019,1081,389,446,1423,1203,1358,1297,27708,27450,1697,1379,1752,1799,593,639,1458,1254,27117,26751,22496,22568,991,764,714,730,333,398,1405,1172,1178,1119,23597,23629,1505,1229,1328,1330,517,564,1433,1214,4621,4350,3944,3662,118,80,305,351,56,48,18,31,180,178,4111,3821,192,150,424,469,76,75,25,40
108,"Erie, PA MSA","267,571","270,876",269011,0,169.2,0.04,0,"11,854",15.5,1,809,0,270876,270427,269011,-449,-1416,700,2641,851,3483,-151,-842,4,142,-292,-761,-288,-619,1,-10,45,"270,892","134,660",136232,116789,119418,11196,9990,413,369,2762,2768,72,112,3428,3575,120046,122822,13655,12594,999,1000,3381,3371,186,205,128524,130317,112111,114989,10436,9256,238,197,2695,2698,44,53,3000,3124,114976,117973,12562,11506,729,729,3265,3259,140,133,6136,5915,4678,4429,760,734,175,172,67,70,28,59,428,451,5070,4849,1093,1088,270,271,116,112,46,72
109,"Eugene-Springfield, OR","381,181","382,971",383189,0,,0.05,0,"21,041",17.2,1,865,0,382971,382940,383189,-31,249,737,3061,1105,4449,-368,-1388,-2,82,360,1501,358,1583,0,-21,54,382983,189479,193504,168522,172247,2835,2044,3218,2969,5260,6778,546,502,9098,8964,177270,180865,5129,4195,7348,7213,8419,9835,1280,1234,170069,175205,152520,156808,2442,1763,1989,2051,5016,6571,458,410,7644,7602,159899,164131,4383,3595,5202,5421,7849,9313,1093,1065,19410,18299,16002,15439,393,281,1229,918,244,207,88,92,1454,1362,17371,16734,746,600,2146,1792,570,522,187,169
110,"Evansville, IN MSA","270,717","269,256",313946,0,,0.03,0,"9,008",13.8,1,1032,1,314049,313930,313946,-119,16,805,3437,1063,4100,-258,-663,0,100,148,538,148,638,0,-9,41,"269,238","132,198",137040,116368,120769,9825,9856,465,359,2108,2394,236,241,3196,3421,119469,124053,12011,12191,1011,1006,2728,3041,328,359,128095,133165,112963,117519,9565,9677,309,216,2049,2348,215,216,2994,3189,115872,120588,11623,11861,788,791,2640,2956,300,319,4103,3875,3405,3250,260,179,156,143,59,46,21,25,202,232,3597,3465,388,330,223,215,88,85,28,40
111,"Fairbanks, AK","94,840",95655,95593,0,,0.05,0,"5,094",7.2,0,267,0,95655,95286,95593,-369,307,352,1276,137,641,215,635,3,16,-595,-352,-592,-336,1,8,8,"95,660","51,538",44122,39351,32695,2925,2091,3952,3935,1518,1753,278,265,3514,3383,42545,35799,3870,2935,5840,5797,2568,2754,516,483,47495,40810,36293,30179,2644,1866,3668,3736,1453,1676,258,240,3179,3113,39187,33044,3477,2620,5373,5456,2414,2599,462,440,4043,3312,3058,2516,281,225,284,199,65,77,20,25,335,270,3358,2755,393,315,467,341,154,155,54,43
112,"Fargo, ND-MN MSA","262,620","249,843",252136,0,288.9,0.07,0,"18,397",11.2,1,735,0,249843,250219,252136,376,1917,874,3079,494,2009,380,1070,-7,174,-12,626,-19,800,0,15,47,"249,833","126,378",123455,109808,108041,7870,7133,2059,1936,3664,3434,77,87,2900,2824,112571,110711,8991,8227,3127,3030,4603,4311,171,206,121520,119141,105931,104569,7669,6939,1570,1577,3614,3391,54,62,2682,2603,108496,107051,8702,7939,2503,2540,4521,4216,137,165,4858,4314,3877,3472,201,194,489,359,50,43,23,25,218,221,4075,3660,289,288,624,490,82,95,34,41
113,"Farmington, NM MSA","120,675","121,661",120993,0,259.7,0.03,0,"3,199",21.7,1,,0,121661,121429,120993,-232,-436,373,1320,370,1440,3,-120,-4,21,-233,-360,-237,-339,1,2,23,"121,666","60,288",61378,32010,32385,513,380,25555,26466,335,408,59,36,1816,1703,33630,33917,927,744,26878,27697,630,690,119,93,48253,49722,22833,23371,379,267,23388,24443,271,350,45,18,1337,1273,24017,24498,713,568,24338,25343,504,572,85,60,12035,11656,9177,9014,134,113,2167,2023,64,58,14,18,479,430,9613,9419,214,176,2540,2354,126,118,34,33
114,"Fayetteville-Springdale-Rogers, AR","590,337","546,725",560709,1,,0.11,1,"62,803",12.1,1,,0,546725,549566,560709,2841,11143,1658,6693,1096,4655,562,2038,19,371,2222,8752,2241,9123,0,38,-18,"546,725","274,622",272103,238093,238828,8534,7077,4863,4879,10358,9123,5188,4474,7586,7722,245347,246219,10771,9371,8820,8894,12278,11074,5543,4862,225245,225438,192480,195700,7667,6275,3484,3576,10014,8857,4962,4259,6638,6771,198850,202213,9670,8339,6807,6943,11722,10591,5237,4562,49377,46665,45613,43128,867,802,1379,1303,344,266,226,215,948,951,46497,44006,1101,1032,2013,1951,556,483,306,300
115,"Fayetteville, NC MSA","392,336","386,810",524588,1,234,0.09,0,"33,607",18,1,,0,520378,520354,524588,-24,4234,1881,7592,1214,5039,667,2553,-3,249,-715,1344,-718,1593,0,27,88,"386,807","191,311",195496,99838,93439,71957,79705,5095,5742,4274,5686,897,850,9250,10074,107565,101757,77824,86234,7891,8937,6968,8585,1555,1574,167030,172515,82368,77476,68268,75850,4124,4811,3975,5411,702,620,7593,8347,88712,84378,73130,81274,6188,7236,6271,7915,1225,1189,24281,22981,17470,15963,3689,3855,971,931,299,275,195,230,1657,1727,18853,17379,4694,4960,1703,1701,697,670,330,385
116,"Flagstaff, AZ MSA","144,472","145,101",145052,0,,0.05,0,"7,310",17.1,1,664,0,145101,145116,145052,15,-64,347,1304,248,1182,99,122,-1,52,-87,-270,-88,-218,1,4,32,"145,104","71,919",73185,47928,47584,1179,1039,19122,20456,1389,1691,110,141,2191,2274,49893,49645,1796,1672,20190,21526,2136,2450,312,381,60935,62451,39077,38898,988,876,17735,19164,1293,1607,74,91,1768,1815,40661,40541,1527,1412,18520,19933,1942,2265,242,291,10984,10734,8851,8686,191,163,1387,1292,96,84,36,50,423,459,9232,9104,269,260,1670,1593,194,185,70,90
117,"Flint, MI MSA","401,522","406,211",404208,0,,0.03,0,"10,840",18,1,2340,1,406211,405648,404208,-563,-1440,1071,4387,1477,5581,-406,-1194,-1,52,-145,-383,-146,-331,1,-11,85,"406,217","196,902",209315,149318,155432,38488,44114,1087,1214,1998,2301,61,55,5950,6199,154748,161078,42303,48101,3003,3347,3043,3313,211,218,188890,201120,142743,148855,37894,43381,873,960,1907,2244,45,41,5428,5639,147692,153988,41401,47042,2549,2848,2912,3193,171,176,8012,8195,6575,6577,594,733,214,254,91,57,16,14,522,560,7056,7090,902,1059,454,499,131,120,40,42
118,"Florence-Muscle Shoals, AL","155,175","150,791",151517,0,,0.02,0,"3,204",14,1,,0,150791,150846,151517,55,671,387,1496,535,2284,-148,-788,0,33,212,1422,212,1455,0,-9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Florence, SC MSA","199,630","199,964",199259,0,215.2,0.02,0,"4,820",18.7,1,1688,1,199964,199638,199259,-326,-379,539,2274,761,2994,-222,-720,0,39,-99,269,-99,308,0,-5,33,"199,965","94,286",105679,52325,55396,38805,46912,435,451,1264,1287,68,58,1389,1575,53499,56706,39738,47992,856,961,1501,1562,145,124,91407,102931,50265,53426,38318,46437,284,339,1225,1253,48,42,1267,1434,51340,54620,39183,47425,659,793,1432,1500,109,100,2879,2748,2060,1970,487,475,151,112,39,34,20,16,122,141,2159,2086,555,567,197,168,69,62,36,24
120,"Fond du Lac, WI MSA","103,948",104154,104362,0,233.9,0.03,0,"3,566",8.24,0,182,0,104154,104076,104362,-78,286,245,995,310,1146,-65,-151,2,32,-10,392,-8,424,0,-5,13,"104,160","51,752",52408,48530,48839,1141,1325,312,326,915,976,33,54,821,888,49313,49689,1583,1792,546,597,1108,1169,60,93,48189,49294,45432,46136,948,1187,224,234,891,955,15,22,679,760,46079,46864,1318,1589,396,446,1062,1130,34,60,3563,3114,3098,2703,193,138,88,92,24,21,18,32,142,128,3234,2825,265,203,150,151,46,39,26,33
121,"Fort Collins, CO","370,771","359,066",362533,0,,0.06,0,"20,412",11.1,1,833,0,359066,359686,362533,620,2847,731,2960,695,2759,36,201,2,94,581,2508,583,2602,0,1,44,"359,074","179,762",179312,165991,165666,2490,1948,1977,2053,4011,4491,200,187,5093,4967,170862,170436,3981,3403,3797,3880,6065,6521,502,475,157028,157454,146166,146723,2127,1601,815,777,3801,4288,144,124,3975,3941,149982,150513,3346,2811,1971,1969,5577,6072,383,367,22734,21858,19825,18943,363,347,1162,1276,210,203,56,63,1118,1026,20880,19923,635,592,1826,1911,488,449,119,108
122,"Fort Smith, AR-OK MSA","231,280","227,213",245459,0,,0.07,0,"14,788",17.8,1,1462,1,244310,244223,245459,-87,1236,753,3031,789,3248,-36,-217,-1,44,-47,1376,-48,1420,0,-3,33,"227,205","112,144",115061,90834,93134,5463,5355,6832,6952,3521,3857,185,182,5309,5581,95917,98439,6946,6878,10261,10603,4271,4637,330,338,98937,102665,79469,82485,5148,5070,6087,6278,3378,3699,85,77,4770,5056,84056,87316,6466,6453,9157,9568,4036,4388,191,187,13207,12396,11365,10649,315,285,745,674,143,158,100,105,539,525,11861,11123,480,425,1104,1035,235,249,139,151
123,"Fort Wayne, IN MSA","457,842","447,781",423038,0,228.3,0.07,0,"29,256",12.4,1,1259,1,419601,420208,423038,607,2830,1351,5469,1107,4387,244,1082,8,248,350,1427,358,1675,0,5,73,"447,744","220,837",226907,180668,184939,22575,24384,1055,1013,9520,9322,216,226,6803,7023,187131,191624,27253,29247,2464,2540,10813,10627,415,449,203174,209853,165628,170595,21604,23256,551,581,9337,9164,77,79,5977,6178,171314,176485,25749,27582,1674,1796,10512,10340,234,244,17663,17054,15040,14344,971,1128,504,432,183,158,139,147,826,845,15817,15139,1504,1665,790,744,301,287,181,205
124,"Fresno, CA MSA","1,180,020","1,164,909",1013581,1,410,0.17,1,"200,768",20.8,1,,0,1008654,1008966,1013581,312,4615,3428,13817,2277,8865,1151,4952,-35,9,-856,-617,-891,-608,1,52,271,"1,164,904","581,853",583051,449579,449045,32514,33375,19199,19211,60380,60976,1734,1728,18447,18716,465883,465541,38344,39301,26496,26706,67958,68552,3171,3254,261297,269717,164601,171309,25642,26123,3621,3893,55620,56274,828,873,10985,11245,174271,181177,29429,29980,6692,7210,60969,61604,1745,1841,320556,313334,284978,277736,6872,7252,15578,15318,4760,4702,906,855,7462,7471,291612,284364,8915,9321,19804,19496,6989,6948,1426,1413
125,"Gadsden, AL MSA","103,241",103436,103162,0,,0.02,0,"2,456",16,1,,0,103436,103393,103162,-43,-231,287,1200,406,1751,-119,-551,1,26,81,277,82,303,0,-6,17,103434,50282,53152,40756,42606,7549,8623,401,361,446,439,206,175,924,948,41632,43494,8030,9112,784,756,551,559,231,203,47694,50862,38832,40852,7415,8508,214,203,385,410,26,25,822,864,39610,41667,7844,8951,552,564,482,516,46,47,2588,2290,1924,1754,134,115,187,158,61,29,180,150,102,84,2022,1827,186,161,232,192,69,43,185,156
126,"Gainesville, FL MSA","352,126","339,247",341756,0,354,0.10,0,"32,920",20.1,1,2282,1,339247,339663,341756,416,2093,770,3170,785,3421,-15,-251,12,379,422,1918,434,2297,0,-3,47,"339,241","165,046",174195,122391,126937,28629,32858,760,775,8485,8943,149,119,4632,4563,126632,131058,31152,35388,1655,1636,10191,10633,353,326,145978,154336,105621,109338,27523,31779,473,501,8313,8700,92,83,3956,3935,109242,112893,29563,33840,1206,1222,9906,10283,254,250,19068,19859,16770,17599,1106,1079,287,274,172,243,57,36,676,628,17390,18165,1589,1548,449,414,285,350,99,76
127,"Gainesville, GA MSA","217,267","203,136",207369,0,401.5,0.17,1,"34,612",14,1,,0,203136,203589,207369,453,3780,614,2503,522,2022,92,481,2,83,356,3221,358,3304,0,3,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Gettysburg, PA MSA","106,748",103852,104127,0,,0.03,0,"3,535",7.94,0,,0,103852,103795,104127,-57,332,213,850,300,1213,-87,-363,0,8,38,680,38,688,0,-8,7,103838,51565,52273,48942,49722,1141,937,240,211,388,527,39,37,815,839,49714,50511,1591,1430,436,397,596,725,64,68,47420,48642,45322,46563,919,728,105,100,359,496,22,25,693,730,45987,47260,1290,1147,260,251,546,679,39,49,4145,3631,3620,3159,222,209,135,111,29,31,17,12,122,109,3727,3251,301,283,176,146,50,46,25,19
129,"Glens Falls, NY MSA","125,427","127,039",126574,0,252.6,0.03,0,"4,024",9.65,0,158,0,127039,126781,126574,-258,-207,280,1001,419,1641,-139,-640,0,13,-109,406,-109,419,0,-10,14,127034,64297,62737,60262,60428,2305,616,237,174,444,537,24,19,1025,963,61221,61297,2789,1072,589,503,695,775,65,81,62208,61295,58774,59269,1994,541,162,112,414,525,13,14,851,834,59572,60035,2385,920,440,395,647,738,44,66,2089,1442,1488,1159,311,75,75,62,30,12,11,5,174,129,1649,1262,404,152,149,108,48,37,21,15
130,"Goldsboro, NC MSA","118,686","117,333",116835,0,,0.07,0,"8,349",18.7,1,511,0,117333,117226,116835,-107,-391,353,1540,425,1657,-72,-117,8,81,-42,-373,-34,-292,1,-1,18,117321,58348,58973,37107,35863,18240,20146,522,475,686,853,121,93,1672,1543,38514,37134,19245,21096,972,921,1241,1348,211,189,50570,51829,30814,30180,17520,19332,198,208,576,766,32,27,1430,1316,32021,31264,18378,20137,549,564,1069,1213,101,105,7778,7144,6293,5683,720,814,324,267,110,87,89,66,242,227,6493,5870,867,959,423,357,172,135,110,84
131,"Grand Forks, ND-MN MSA","103,120",104362,103462,0,,0.05,0,"5,316",14.3,1,255,0,104362,104113,103462,-249,-651,313,1220,272,983,41,237,-4,50,-288,-944,-292,-894,1,2,6,104366,53531,50835,47013,45234,2408,1625,1291,1402,1268,1201,37,34,1514,1339,48411,46490,2945,2063,1954,2059,1726,1566,134,107,50627,48063,44729,43037,2273,1513,1076,1180,1201,1148,28,31,1320,1154,45956,44127,2734,1888,1629,1724,1620,1474,110,94,2904,2772,2284,2197,135,112,215,222,67,53,9,3,194,185,2455,2363,211,175,325,335,106,92,24,13
132,"Grand Island, NE MSA","76,479",77038,76175,0,,0.12,1,"9,534",10.9,1,285,0,77038,76885,76175,-153,-710,252,961,199,810,53,151,0,93,-208,-947,-208,-854,1,2,-7,"77,028","39,111",37917,35566,34899,1424,1024,863,803,478,495,198,155,582,541,36109,35394,1631,1235,1089,1035,645,637,247,184,28622,28705,26452,26927,1186,810,170,146,398,414,33,35,383,373,26812,27269,1339,961,289,277,523,528,56,53,10489,9212,9114,7972,238,214,693,657,80,81,165,120,199,168,9297,8125,292,274,800,758,122,109,191,131
133,"Grand Junction, CO MSA","159,681","155,703",157335,0,,0.04,0,"6,090",13,1,435,0,155703,155939,157335,236,1396,382,1529,421,1877,-39,-348,-1,4,282,1734,281,1738,0,-6,6,"155,706","77,294",78412,72532,73587,872,611,1235,1207,620,983,105,101,1930,1923,74332,75390,1478,1182,2154,2161,1156,1527,248,227,65441,66969,62257,63675,660,431,514,507,527,892,85,76,1398,1388,63577,64972,1149,896,1064,1083,968,1345,183,174,11853,11443,10275,9912,212,180,721,700,93,91,20,25,532,535,10755,10418,329,286,1090,1078,188,182,65,53
134,"Grand Rapids-Kentwood, MI","1,162,950","1,150,015",1091620,1,,0.06,0,"71,602",10.3,1,3472,1,1087592,1088203,1091620,611,3417,3240,12211,2561,9773,679,2438,31,510,-111,310,-80,820,0,12,159,1149996,578032,571964,498133,497469,44954,38463,3943,3847,15264,16585,412,364,15326,15236,512639,511857,53963,47613,8326,8403,18903,19969,872,792,519834,517421,448939,451598,41253,34865,1975,1938,14819,16165,178,157,12670,12698,460972,463607,48661,42486,5221,5370,18047,19201,547,476,58198,54543,49194,45871,3701,3598,1968,1909,445,420,234,207,2656,2538,51667,48250,5302,5127,3105,3033,856,768,325,316
135,"Grants Pass, OR MSA","87,821",88090,88346,0,,0.04,0,"3,543",16,1,209,0,88090,88105,88346,15,241,195,748,388,1443,-193,-695,0,4,220,936,220,940,0,-12,-4,88088,43038,45050,39886,41788,316,257,737,732,380,562,124,118,1595,1593,41383,43278,592,537,1707,1717,764,945,259,248,39471,41571,36962,38915,248,198,552,536,329,521,88,89,1292,1312,38173,40146,478,433,1306,1318,662,859,203,198,3567,3479,2924,2873,68,59,185,196,51,41,36,29,303,281,3210,3132,114,104,401,399,102,86,56,50
136,"Great Falls, MT MSA","84,900",84414,84511,0,,0.00,0,,13.5,1,302,0,84414,84328,84511,-86,183,255,961,271,1024,-16,-63,5,25,-72,208,-67,233,0,-3,13,"84,409","42,997",41412,37930,36667,879,532,1982,2040,410,492,51,43,1745,1638,39580,38196,1348,968,2991,2997,851,900,149,129,40855,39522,36414,35338,801,477,1687,1766,366,470,42,29,1545,1442,37885,36692,1206,856,2566,2596,762,828,125,96,2142,1890,1516,1329,78,55,295,274,44,22,9,14,200,196,1695,1504,142,112,425,401,89,72,24,33
137,"Greeley, CO MSA","359,442","328,981",340036,0,484.9,0.09,0,"30,154",10.3,1,694,0,328981,331358,340036,2377,8678,1134,4333,558,2340,576,1993,-2,99,1775,6631,1773,6730,0,28,-45,"328,987","166,955",162032,153695,149912,3101,2308,2933,2587,2932,3229,303,262,3991,3734,157448,153412,4218,3339,4752,4305,4215,4410,539,489,116115,114422,107247,106342,2394,1651,885,734,2657,2996,169,145,2763,2554,109862,108745,3233,2431,1888,1660,3718,3962,344,311,50840,47610,46448,43570,707,657,2048,1853,275,233,134,117,1228,1180,47586,44667,985,908,2864,2645,497,448,195,178
138,"Green Bay, WI MSA","331,882","328,268",329490,0,289.8,0.05,0,"15,365",9.41,0,730,0,328268,328323,329490,55,1167,865,3517,793,3131,72,386,3,62,-20,653,-17,715,0,0,66,"328,273","164,872",163401,146333,145669,4957,3559,4988,5205,4721,5080,157,103,3716,3785,149832,149231,6737,5338,6539,6806,5470,5838,281,245,150459,149993,134678,134808,4451,3207,3551,3748,4558,4919,83,56,3138,3255,137630,137872,5999,4772,4741,5022,5235,5619,186,174,14413,13408,11655,10861,506,352,1437,1457,163,161,74,47,578,530,12202,11359,738,566,1798,1784,235,219,95,71
